Athlete,Distance Interval 5,Distance Interval 10,Distance Interval 15,Distance Interval 20,Distance Interval 25,Distance Interval 30,Distance Interval 35,Distance Interval 40,Distance Interval 45,Distance Interval 50,Distance Interval 55,Distance Interval 60,Distance Interval 65,Distance Interval 70,Distance Interval 75,Distance Interval 80,Distance Interval 85,Distance Interval 90,Distance Interval 95,Distance Interval 100,Distance Interval 105,Distance Interval 110,Distance Interval 115,Session Type
Adrián Rodríguez Couto,337.54496948939703,705.6856331784708,698.7067669647274,101.41892251909478,756.1168368620654,643.8893730652492,566.2909096155888,601.7474133631829,675.6310970395685,658.0962522443949,212.22228961170242,624.1868227994726,611.4640525593375,670.7710365646464,474.01286426353215,554.475916119424,672.2434312673009,591.4901435712668,603.4905688523426,482.35980232154026,541.3658819904363,616.5367529284678,0.0,MatchSession
Aron,264.8600487144509,556.0528163232746,572.0321809964909,206.16648893788903,545.9405831311905,527.5499625602857,458.90610732872386,558.6492506066605,499.2620526481144,394.5045003339901,108.31408314774953,460.2621215488757,500.75305442192615,444.1714436640741,413.53884222629364,436.83568586277937,468.3823830406037,438.60218709248363,467.9595550626001,389.07203832289156,137.99265612574692,0.0,0.0,MatchSession
Fernando Mingo Moreno,416.51794897350163,735.9923963390854,625.9772702472982,228.8242301000989,604.0159690581655,643.3999888119855,510.089149140106,652.6175298857094,664.2022052494232,567.3016087683013,166.17297396296303,720.2035278429553,655.9868026858059,547.6863096828156,590.7675263992588,612.000224277554,675.8078645055505,680.6865644495277,635.5542789949991,573.8305860005255,562.5287294884982,580.5355271835026,0.0,MatchSession
Gilles De Vleeschauwer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MatchSession
Jens Kroon,252.00245823003974,541.1347091124474,579.5245271649529,159.91891439471874,458.74200164107765,488.168486223469,469.306117826832,518.831727331296,598.5852825774315,422.302696566472,114.15776901326436,490.7811210393676,474.0522189793828,450.6669278814974,421.55878019692113,381.1190854651493,445.1131068658956,462.7624965157654,490.4834783284685,387.83194295531166,397.1600202102597,443.44569979316594,0.0,MatchSession
Joris Gerard Bernard Eissens,274.2789503435989,559.0685477397427,627.489516129853,152.344943789878,448.5947364308761,600.2062376578544,420.9389020867541,554.0182990948714,617.0770823590971,500.9701343567433,103.73114726950915,514.3508776729453,536.7107956581367,571.0583412391287,420.8727396416877,401.3353908727721,514.2784928731342,478.24004608463525,564.3614496781063,418.7739235550304,462.97501515028625,561.516962544495,0.0,MatchSession
Jorrit,296.5305943419429,637.7464443213327,546.9611370784963,109.65800520132794,590.1036362007209,707.1552307927974,522.3275380155407,545.9927619488343,611.348372840626,542.111279207186,160.09313983305847,586.7634830892773,579.1340215277455,540.4950602042587,471.7554071102982,541.8789556400461,538.585473992722,557.7536247356051,553.7149550079545,420.80395555616496,416.57459553208355,521.8379206332695,0.0,MatchSession
Mateo Koch,394.7825579035837,712.4126271486844,781.6907098844996,212.3393454363939,747.9609160581755,727.574635094,665.6484649319217,618.7751883736116,757.0466123171448,696.1158231448966,186.55707703508173,647.4148431659681,695.0652514429481,682.2115207422125,558.1528819024757,185.58629000319607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MatchSession
Matthijs van Heesch,289.16550768524115,709.9258181261546,635.8639344727145,168.4770123217451,612.642375254894,655.5323842678065,576.9518996765534,572.8563479301713,684.3419741891822,554.9739542833279,151.30728869805492,621.2358592353849,570.0121397198267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MatchSession
Ot Zwaenepoel,356.5439648766967,663.1549746577346,620.0602573484073,95.78115246963554,690.6178968013431,684.5862065176532,527.807443350753,586.8041240125393,674.5334268886695,554.7837846295947,137.7047326146705,593.537570284014,601.3399797273013,534.3153238484858,336.28275540567347,556.9753649791257,543.7710688657262,516.1508877093177,583.7728942502123,428.94735699028496,448.54265943944887,527.3260513281773,0.0,MatchSession
Vincent Jones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MatchSession
Wesley Bosch,348.17711287586764,672.1554247740756,598.5202408489814,165.2011811156606,635.7261115155661,656.8517744560345,589.7897389424729,579.9017546458778,706.0988092266817,652.5851199400408,171.08086375483919,680.0811423211115,674.5046898241433,585.3910757119016,536.0890663695533,580.6081106101135,708.1867073869081,665.4779295260911,766.6295192039358,558.9928004952136,547.8068291247023,635.6273482558321,0.0,MatchSession
Mauro Galbis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.98979381463977,527.3009499033155,588.5685792552687,567.6160881124156,591.5321975891728,589.6357360303394,539.1212679014267,586.4327865749435,531.5554498255751,0.0,MatchSession
Nick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.65290292677787,0.0,MatchSession
